Channel,p_spike_1.0_count,p_spike_1.0_times,p_poly_1.0_count,p_poly_1.0_times,p_sw_1.0_count,p_sw_1.0_times,p_unknown_1.0_count,p_unknown_1.0_times
LA1-LA2,4,"[445.78, 2007.49, 2077.905, 3513.755]",1,[4313.03],5,"[1992.76, 2011.7, 4726.89, 6131.85, 6560.995]",0,[]
LA10-LA11,8,"[3513.75, 3613.995, 3625.58, 3822.455, 4225.125, 4304.545, 5237.605, 5591.14]",0,[],6,"[444.84, 1996.3, 5454.35, 5829.045, 6462.88, 6544.185]",0,[]
LA11-LA12,1,[5164.49],0,[],16,"[3496.66, 3513.755, 3614.005, 4304.55, 4322.59, 4358.17, 4424.53, 4444.345, 5107.495, 5223.145, 5277.41, 6322.75, 6462.885, 6582.355, 6588.05, 6607.475]",0,[]
LA2-LA3,4,"[1091.765, 3498.44, 3699.945, 6462.92]",0,[],13,"[2009.38, 2501.5, 2943.875, 3252.86, 3355.43, 3395.355, 3513.59, 3614.08, 4011.23, 4304.56, 5895.435, 6487.975, 7081.8]",0,[]
LA3-LA4,3,"[3615.435, 4304.255, 6462.575]",0,[],10,"[2538.88, 3631.22, 4969.26, 5055.555, 5107.475, 5454.49, 5973.225, 6471.26, 6487.985, 6538.33]",0,[]
LA4-LA5,3,"[650.63, 3471.195, 6133.095]",0,[],6,"[1508.81, 3465.88, 3496.07, 3600.29, 6471.255, 6538.33]",0,[]
LA5-LA6,4,"[3211.765, 3513.765, 4304.555, 5317.845]",0,[],6,"[444.89, 1495.675, 3613.885, 5165.58, 6419.39, 6547.67]",0,[]
LA6-LA7,8,"[310.055, 445.05, 3513.755, 3613.285, 4225.14, 4308.47, 5165.56, 6462.58]",0,[],5,"[2005.765, 4137.895, 5098.95, 5464.145, 6573.545]",0,[]
LA7-LA8,6,"[1197.595, 1238.225, 1992.72, 3847.37, 3914.57, 5107.47]",0,[],14,"[1241.805, 2061.145, 2077.925, 3460.505, 3559.25, 3694.35, 5164.495, 5189.04, 5237.115, 5277.355, 5591.11, 6081.675, 6288.235, 6462.43]",0,[]
LA8-LA9,5,"[2000.08, 2077.54, 5165.635, 5359.115, 6081.675]",2,"[5595.28, 6462.485]",17,"[247.785, 262.75, 444.795, 653.175, 1173.855, 2009.445, 3625.58, 3628.59, 3663.765, 3694.35, 3699.93, 4304.54, 5237.115, 5277.575, 5454.34, 5591.11, 5604.755]",0,[]
LA9-LA10,3,"[386.625, 3625.58, 5121.145]",0,[],7,"[310.02, 444.825, 3613.485, 5160.035, 5165.64, 5277.58, 6462.875]",0,[]
LH1-LH2,2,"[287.015, 2541.3194375]",0,[],16,"[2592.26865625, 2860.32, 3013.085, 3187.335, 3355.455, 3431.395, 3513.755, 3625.59, 3699.93, 3732.97959375, 3852.26475, 3911.90146875, 4225.245, 5454.285, 6450.49, 6923.495]",0,[]
LH10-LH11,36,"[258.52, 280.245, 331.975, 561.405, 778.15, 935.23, 988.28, 1082.93, 1336.42, 1632.29, 1698.04, 1911.875, 1979.13, 3232.885, 3504.505, 3505.625, 3590.11, 3613.29, 3615.065, 3625.59, 3677.945, 3692.62, 3705.755, 3794.835, 3814.48, 3876.115, 4005.71, 4315.375, 4390.54, 4499.8, 4991.53, 5302.58, 5612.455, 5738.485, 6462.575, 6467.965]",0,[],30,"[196.575, 537.625, 703.29, 725.63, 823.58, 1224.225, 1238.09, 1258.965, 1634.42, 1765.77, 1861.72, 1950.505, 2093.18, 2285.795, 3296.68, 3337.15, 3556.065, 3596.465, 3845.97, 4417.285, 4743.135, 5085.245, 5231.7, 5340.845, 5362.32, 5385.785, 5822.79, 6204.92, 6262.705, 6596.765]",0,[]
LH11-LH12,2,"[452.155, 6462.58]",0,[],5,"[3613.28, 4304.545, 5148.1, 5463.325, 5630.66]",0,[]
LH2-LH3,1,[3269.975],4,"[2892.62, 3395.595, 5058.915, 5692.64]",15,"[1396.0, 2629.045, 2631.535, 2778.64, 2845.51, 3212.19, 4685.12, 4795.335, 4917.29, 4930.885, 4977.215, 5740.28, 6985.24, 7091.615, 7124.495]",0,[]
LH3-LH4,4,"[3252.845, 3355.45, 3613.27, 4304.255]",0,[],11,"[556.06553125, 2281.68, 2398.675, 2621.4444375, 2631.53, 2799.44, 3513.755, 5019.44, 6886.42, 6895.74, 6985.19]",0,[]
LH4-LH5,3,"[3625.595, 4304.555, 4388.32]",0,[],2,"[3513.755, 6462.445]",0,[]
LH5-LH6,5,"[1240.965, 2009.43, 3513.755, 6406.155, 6462.925]",0,[],7,"[2041.17, 3614.005, 3699.92, 4304.55, 4417.24, 5454.28, 6131.62]",0,[]
LH6-LH7,6,"[465.01, 2077.98, 3615.06, 3631.575, 5166.46, 6462.58]",1,[2009.435],8,"[1963.825, 3513.755, 3629.485, 3694.31, 3699.925, 4316.175, 6083.215, 6406.115]",0,[]
LH7-LH8,4,"[280.235, 372.885, 4304.55, 6462.92]",0,[],1,[3613.505],0,[]
LH8-LH9,12,"[537.625, 988.29, 1238.145, 1861.735, 1952.92, 2217.285, 3513.755, 3521.145, 3614.005, 3866.71, 5622.935, 6596.77]",0,[],6,"[3490.7, 3625.59, 5107.49, 5189.055, 6381.735, 6462.92]",0,[]
LH9-LH10,14,"[992.095, 1460.98, 1592.43, 1950.51, 2191.22, 2217.275, 3232.9, 3504.53, 3596.465, 3613.295, 3625.395, 3853.52, 5822.8, 6462.58]",0,[],19,"[372.885, 1082.935, 1241.81, 1861.73, 1937.415, 2288.815, 2429.725, 2681.54, 3513.755, 3703.015, 3794.835, 4161.505, 4558.225, 4691.69, 5454.34, 5739.75, 6314.745, 6381.705, 6888.48]",0,[]
LP1-LP2,3,"[444.875, 2077.925, 6462.58]",1,[2093.2],32,"[152.215, 561.415, 653.085, 1170.295, 1993.565, 2028.165, 2041.19, 2060.94, 2864.025, 3232.9, 3239.825, 3417.885, 3496.625, 3514.015, 3559.11, 3629.825, 3838.865, 4302.24, 4308.45, 4388.23, 5106.07, 5107.46, 5189.065, 5235.76, 5428.225, 5454.34, 5515.055, 5572.215, 5668.805, 6269.195, 6381.71, 6504.79]",0,[]
LP10-LP11,3,"[219.555, 314.365, 5165.63]",0,[],2,"[4235.175, 5454.215]",0,[]
LP11-LP12,4,"[372.96, 1238.25, 3625.59, 6462.92]",1,[5165.63],8,"[286.96, 444.85, 736.02, 1240.735, 3613.285, 5326.03, 5328.795, 5359.075]",0,[]
LP2-LP3,7,"[2501.935, 3841.325, 4523.925, 4920.175, 6326.19, 6462.58, 6577.6]",1,[5359.085],3,"[2869.6, 3355.455, 4376.3]",0,[]
LP3-LP4,1,[5145.125],0,[],1,[6462.58],0,[]
LP4-LP5,7,"[652.81, 3613.285, 3625.445, 3699.885, 5359.13, 6403.935, 6459.27]",0,[],2,"[3635.265, 6462.65]",0,[]
LP6-LP7,2,"[386.745, 5107.44]",0,[],5,"[1238.325, 4304.535, 5359.12, 5454.205, 6462.9]",0,[]
LP7-LP8,2,"[390.9, 1181.66]",1,[6462.91],3,"[1222.705, 3513.71, 6187.79]",0,[]
LP8-LP9,2,"[390.595, 5464.355]",2,"[5454.21, 6462.91]",5,"[389.03, 5165.655, 5235.81, 5362.305, 6406.215]",0,[]
LP9-LP10,1,[4304.27],0,[],2,"[389.075, 3613.28]",0,[]
LS1-LS2,1,[4304.265],2,"[3513.755, 6462.58]",2,"[1238.28, 3625.385]",0,[]
LS2-LS3,0,[],1,[6462.905],1,[3513.755],0,[]
LS3-LS4,2,"[3613.275, 6462.92]",0,[],0,[],0,[]
LS4-LS5,1,[6462.915],1,[4304.545],2,"[3625.59, 5454.05]",0,[]
LS5-LS6,0,[],0,[],3,"[3513.755, 5119.905, 6218.27]",0,[]
LS6-LS7,2,"[1989.015, 6462.925]",0,[],1,[3513.755],0,[]
LS7-LS8,0,[],0,[],2,"[5463.255, 6462.925]",0,[]
LT1-LT2,1,[6462.58],0,[],3,"[3513.755, 3613.505, 3625.595]",0,[]
LT2-LT3,7,"[386.255, 3460.49, 3625.38, 4304.27, 4417.235, 5454.355, 6245.915]",1,[1172.975],9,"[389.06, 390.615, 2008.905, 3497.45, 3614.005, 5188.845, 5272.11, 5359.13, 5464.285]",0,[]
LT3-LT4,8,"[286.355, 343.735, 711.9, 3460.49, 3496.845, 3613.3, 6345.825, 6462.575]",0,[],4,"[1173.835, 4417.255, 5359.11, 6243.94]",0,[]
LT4-LT5,3,"[3496.84, 5188.86, 6462.58]",1,[4417.255],9,"[343.735, 474.125, 711.77, 1242.185, 2012.645, 3618.215, 3625.33, 5120.8, 5464.23]",0,[]
