Channel	SCS	MNI	World
RH1	[-0.800,-24.414,24.639]	[26.114,-19.022,-20.364]	[23.405,1.355,-22.123]
RH2	[-0.458,-27.309,26.576]	[29.249,-18.836,-18.368]	[26.349,0.743,-20.330]
RH3	[-0.116,-30.204,28.512]	[32.370,-18.717,-16.397]	[29.292,0.131,-18.538]
RH4	[0.226,-33.100,30.449]	[35.517,-18.551,-14.371]	[32.235,-0.481,-16.745]
RH5	[0.568,-35.995,32.386]	[38.778,-18.312,-12.317]	[35.178,-1.092,-14.952]
RH6	[0.910,-38.890,34.323]	[42.088,-18.062,-10.301]	[38.121,-1.704,-13.159]
RH7	[1.252,-41.785,36.259]	[45.355,-17.758,-8.266]	[41.064,-2.316,-11.367]
RH8	[1.594,-44.680,38.196]	[48.586,-17.436,-6.285]	[44.007,-2.928,-9.574]
RH9	[1.936,-47.576,40.133]	[51.715,-17.057,-4.339]	[46.950,-3.540,-7.781]
RH10	[2.279,-50.471,42.069]	[54.787,-16.664,-2.468]	[49.893,-4.152,-5.989]
RH11	[2.621,-53.366,44.006]	[57.889,-16.303,-0.731]	[52.836,-4.764,-4.196]
RH12	[2.963,-56.261,45.943]	[60.960,-15.933,1.002]	[55.779,-5.376,-2.403]
RH13	[3.305,-59.156,47.880]	[63.959,-15.569,2.809]	[58.722,-5.988,-0.610]
RH14	[3.647,-62.051,49.816]	[66.808,-15.190,4.819]	[61.665,-6.600,1.182]
RA1	[8.987,-19.083,19.560]	[20.432,-9.214,-26.501]	[18.843,12.688,-22.993]
RA2	[9.451,-22.224,21.033]	[23.773,-8.595,-24.862]	[22.034,12.343,-21.598]
RA3	[9.915,-25.365,22.506]	[27.089,-8.110,-23.233]	[25.225,11.998,-20.202]
RA4	[10.379,-28.506,23.978]	[30.400,-7.750,-21.635]	[28.416,11.653,-18.807]
RA5	[10.843,-31.647,25.451]	[33.765,-7.451,-20.034]	[31.608,11.308,-17.411]
RA6	[11.307,-34.788,26.923]	[37.204,-7.140,-18.451]	[34.799,10.963,-16.016]
RA7	[11.771,-37.929,28.396]	[40.663,-6.786,-16.865]	[37.990,10.618,-14.620]
RA8	[12.235,-41.070,29.869]	[44.150,-6.363,-15.259]	[41.181,10.273,-13.225]
RA9	[12.699,-44.211,31.341]	[47.624,-5.869,-13.667]	[44.372,9.928,-11.829]
RA10	[13.163,-47.352,32.814]	[51.045,-5.312,-12.105]	[47.564,9.583,-10.434]
RA11	[13.627,-50.493,34.287]	[54.468,-4.760,-10.620]	[50.755,9.238,-9.039]
RA12	[14.091,-53.634,35.759]	[57.828,-4.231,-9.140]	[53.946,8.893,-7.643]
RA13	[14.555,-56.775,37.232]	[61.175,-3.750,-7.752]	[57.137,8.548,-6.248]
RA14	[15.019,-59.916,38.705]	[64.622,-3.262,-6.489]	[60.328,8.203,-4.852]
RP1	[-15.753,-23.041,40.779]	[24.904,-34.352,-2.096]	[21.022,-18.373,-12.578]
RP2	[-16.089,-26.523,40.657]	[28.562,-35.027,-2.491]	[24.460,-18.892,-12.974]
RP3	[-16.425,-30.005,40.534]	[32.254,-35.610,-2.861]	[27.899,-19.411,-13.369]
