Channel,p_spike_1.0_count,p_spike_1.0_times,p_poly_1.0_count,p_poly_1.0_times,p_sw_1.0_count,p_sw_1.0_times
LA1-LA2,4,"[14.625, 3200.5, 4327.64, 6415.705]",2,"[5942.225, 6200.695]",19,"[3536.31, 3615.925, 3826.725, 3852.515, 4063.85, 4118.725, 4175.935, 4191.945, 4215.58, 4895.1, 4933.765, 5300.45, 5642.415, 5728.805, 5839.995, 6123.27, 6204.475, 6246.92, 7006.875]"
LA10-LA11,2,"[2053.9, 7110.63]",0,[],1,[4115.0]
LA11-LA12,10,"[788.775, 1242.785, 2377.2, 2583.065, 2600.305, 3217.37, 3293.165, 3329.89, 5063.695, 5180.38]",0,[],8,"[905.805, 2992.015, 3268.56, 3952.81, 4142.755, 4933.76, 5546.535, 6950.885]"
LA2-LA3,5,"[2473.64, 4142.61, 4324.93, 5929.62, 7006.875]",0,[],14,"[3627.815, 3711.855, 3733.59, 3970.235, 4138.25, 4215.56, 5067.98, 5533.565, 5642.41, 5728.8, 5906.195, 5908.435, 6123.295, 6246.915]"
LA3-LA4,13,"[2936.625, 3533.845, 3661.335, 3711.865, 3826.735, 3852.515, 4215.585, 4895.11, 4933.77, 5329.4, 5564.78, 5840.01, 6871.6]",0,[],9,"[3068.08, 3396.9, 3733.595, 3970.24, 5067.99, 5533.57, 5908.43, 6149.045, 6440.565]"
LA4-LA5,8,"[3627.825, 3852.52, 4218.57, 4267.67, 4895.115, 4933.775, 5063.71, 5840.005]",1,[6475.26],13,"[3329.65, 3567.82, 3661.34, 3711.87, 3733.6, 3970.245, 5067.99, 5300.46, 5329.405, 5533.585, 5546.55, 5564.79, 5908.435]"
LA5-LA6,2,"[3655.495, 5546.535]",0,[],3,"[3567.815, 5329.41, 5564.79]"
LA6-LA7,8,"[788.77, 953.61, 1433.405, 2992.03, 3068.065, 3655.495, 3661.325, 4146.16]",1,[6101.875],4,"[802.595, 3100.395, 3151.935, 7110.635]"
LA7-LA8,2,"[2985.725, 2992.025]",0,[],2,"[788.76, 968.575]"
LA8-LA9,1,[792.66],0,[],3,"[2377.57, 2992.005, 3068.095]"
LA9-LA10,1,[964.15],0,[],0,[]
